"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CHIC2",1.13025544483798e-06,0.485582857665855,0.267,0.122,0.0175517368028891,"4","CHIC2"
"G3BP1",1.14512298387326e-06,0.635311680062512,0.293,0.144,0.0177826148165678,"4","G3BP1"
"TYMP",1.14933902597143e-06,0.253093853434459,0.319,0.154,0.0178480857343103,"4","TYMP"
"TRPM2",1.16960563663188e-06,3.34773012568363,0.037,0.004,0.0181628059312565,"4","TRPM2"
"JUND2",1.21465550920573e-06,0.361431990711534,0.571,0.337,0.0188623854024558,"4","JUND"
"CHSY3",1.21468121801552e-06,4.49772636847115,0.021,0.001,0.0188627846345631,"4","CHSY3"
"FAM13A",1.22366681276403e-06,1.85401670700573,0.068,0.015,0.0190023219354126,"4","FAM13A"
"PXDN",1.22949629916389e-06,6.63606125728221,0.016,0,0.0190928480297161,"4","PXDN"
"CELSR3",1.22949629916389e-06,6.67974642940269,0.016,0,0.0190928480297161,"4","CELSR3"
"TET1",1.22949629916389e-06,6.57565758137792,0.016,0,0.0190928480297161,"4","TET1"
"CALY",1.22949629916389e-06,6.800995747828,0.016,0,0.0190928480297161,"4","CALY"
"SSPN",1.22949629916389e-06,6.19667978674202,0.016,0,0.0190928480297161,"4","SSPN"
"TRAV36DV7",1.22949629916389e-06,6.21711375703715,0.016,0,0.0190928480297161,"4","TRAV36DV7"
"STARD5",1.25884578812831e-06,2.34468291573813,0.037,0.004,0.0195486162438444,"4","STARD5"
"SMARCB1",1.26538666396068e-06,0.468320810949059,0.22,0.095,0.0196501895046454,"4","SMARCB1"
"UBE2K",1.27215859128888e-06,0.839684342166038,0.209,0.09,0.019755350764125,"4","UBE2K"
"NCL1",1.29430933106567e-06,0.25810223938613,0.628,0.371,0.0200993296021189,"4","NCL"
"NCALD",1.31048913780233e-06,1.03322332182855,0.131,0.044,0.0203505858209323,"4","NCALD"
"TP53I13",1.35613030088441e-06,0.638774201998024,0.147,0.052,0.021059347442434,"4","TP53I13"
"APOL6",1.37738070171324e-06,0.688421064930528,0.188,0.076,0.0213893449169049,"4","APOL6"
"DEGS1",1.40709438024113e-06,0.405082203968765,0.241,0.108,0.0218507686307645,"4","DEGS1"
"HNRNPM",1.45326902260716e-06,0.406442524392254,0.487,0.275,0.0225678146520666,"4","HNRNPM"
"SACM1L",1.50008799208752e-06,0.453108236068296,0.173,0.067,0.0232948664291271,"4","SACM1L"
"CCNDBP1",1.51424338281e-06,0.289874486127789,0.382,0.196,0.0235146854916565,"4","CCNDBP1"
"MSH3",1.51553541563691e-06,0.884593187139942,0.141,0.051,0.0235347494694255,"4","MSH3"
"CD8A",1.54713661726884e-06,0.570451612508966,0.209,0.089,0.0240254845295678,"4","CD8A"
"ADSS",1.58421120542577e-06,0.491841153020877,0.246,0.111,0.0246012158090568,"4","ADSS"
"CD151",1.61755605430381e-06,0.563225824469505,0.199,0.083,0.0251190279672839,"4","CD151"
"TCEA1",1.6275281179353e-06,0.350106725962061,0.366,0.193,0.0252738841434172,"4","TCEA1"
"PTPRC",1.66714621041289e-06,0.323747397829659,0.822,0.546,0.0258891135015017,"4","PTPRC"
"SNRPD3",1.68817209035553e-06,0.324806868409684,0.351,0.176,0.026215624391131,"4","SNRPD3"
"MRFAP1L1",1.70189854881625e-06,0.647010403073233,0.199,0.084,0.0264287825645675,"4","MRFAP1L1"
"BCLAF11",1.71674122731987e-06,0.444599729103193,0.372,0.194,0.0266592745190502,"4","BCLAF1"
"CDKN2AIP",1.71761567826447e-06,0.839485476751151,0.141,0.05,0.0266728538677689,"4","CDKN2AIP"
"PIP4K2A",1.74571865847177e-06,0.405911754890282,0.346,0.176,0.0271092650474082,"4","PIP4K2A"
"HECTD11",1.74829133277048e-06,0.541899729526206,0.251,0.114,0.0271492161065927,"4","HECTD1"
"DERL3",1.75284536067744e-06,1.56508941683662,0.084,0.022,0.02721993560596,"4","DERL3"
"AHI1",1.76083054228141e-06,0.752715455128759,0.194,0.081,0.027343937491088,"4","AHI1"
"KANSL1",1.76154581898357e-06,0.546263495172236,0.199,0.083,0.0273550450229959,"4","KANSL1"
"ZBTB32",1.78384554331926e-06,2.31051441134028,0.047,0.007,0.0277013374422047,"4","ZBTB32"
"MAP4K1",1.81083468139801e-06,0.506627314806894,0.199,0.083,0.0281204517674297,"4","MAP4K1"
"TOMM22",1.8155312949048e-06,0.257053835844893,0.424,0.222,0.0281933854785767,"4","TOMM22"
"SLC30A1",1.85595750898613e-06,1.33583962387136,0.099,0.029,0.0288211641570456,"4","SLC30A1"
"COL18A1",1.87552855458807e-06,2.35661384124233,0.047,0.007,0.0291250829241981,"4","COL18A1"
