"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"123","ADAT2",2.01377700371964e-16,1.05095249411916,0.025,0.007,3.07825952788583e-12,"ADAT2","134637"
"124","ADCK2",3.70498515919735e-19,0.382060927270178,0.062,0.029,5.66344031434906e-15,"ADCK2","90956"
"125","ADCY3",6.56981702199896e-23,1.97804046992523,0.023,0.004,1.00426222998276e-18,"ADCY3","109"
"126","ADCY7",9.61126419714144e-13,0.668317938302997,0.019,0.005,1.46917784517504e-08,"ADCY7","113"
"127","ADD1",2.04278802601117e-20,0.131141165618472,0.16,0.101,3.12260577656067e-16,"ADD1","118"
"128","ADD3",5.14391503144005e-65,0.439288636332598,0.208,0.097,7.86298851705925e-61,"ADD3","120"
"129","ADH1A",2.24163151351361e-12,-3.13365297840657,0.003,0.017,3.42655793155691e-08,"ADH1A","124"
"130","ADH1B",1.02324623551765e-13,-1.73166657568105,0.018,0.042,1.56413419561228e-09,"ADH1B","125"
"131","ADH5",1.74668804451766e-10,-0.64008852569827,0.242,0.181,2.6699873448497e-06,"ADH5","128"
"132","ADI1",2.29157095320145e-23,-0.0810616331611874,0.344,0.249,3.50289535906374e-19,"ADI1","55256"
"133","ADIPOR1",3.77625899167622e-33,-0.00494117424836238,0.178,0.1,5.77238949467626e-29,"ADIPOR1","51094"
"134","ADIPOR2",1.70161697155539e-20,0.340053251815984,0.148,0.093,2.60109170271956e-16,"ADIPOR2","79602"
"135","ADIRF",1.11101054894539e-88,-1.39064747937397,0.321,0.445,1.69829072511792e-84,"ADIRF","10974"
"136","ADK",1.26128325707686e-33,0.204170356317521,0.09,0.038,1.92799758676769e-29,"ADK","132"
"137","ADM",1.90468830615148e-100,1.39702853571161,0.288,0.139,2.91150654478315e-96,"ADM","133"
"138","ADM2",3.93700319822708e-16,2.36574015227361,0.017,0.003,6.01810308880992e-12,"ADM2","79924"
"139","ADM5",6.10911592506334e-12,1.43870564160785,0.009,0.001,9.33839460305182e-08,"ADM5","199800"
"140","ADNP",2.6010665826682e-29,1.12894229518793,0.07,0.027,3.97599037826661e-25,"ADNP","23394"
"141","ADNP2",6.63874217828394e-37,1.1890001083823,0.053,0.014,1.01479812937248e-32,"ADNP2","22850"
"142","ADO",1.01423192815206e-12,0.701685856558914,0.021,0.007,1.55035492537324e-08,"ADO","84890"
"143","ADPGK",8.65684170372334e-32,0.536125288775819,0.082,0.034,1.32328482283115e-27,"ADPGK","83440"
"144","ADPRH",2.45793713195487e-06,5.13701157036192,0.003,0,0.0375720269990621,"ADPRH","141"
"145","ADRM1",8.9303801664077e-31,0.185600186744712,0.319,0.219,1.36509791223708e-26,"ADRM1","11047"
"146","ADSL",8.23815372666945e-41,0.386927203838453,0.112,0.048,1.25928417865869e-36,"ADSL","158"
"147","AEBP2",1.00789252663755e-13,0.666025728414765,0.029,0.011,1.54066451621816e-09,"AEBP2","121536"
"148","AEN",9.23891553184875e-33,0.575142971593915,0.034,0.006,1.4122606281984e-28,"AEN","64782"
"149","AFAP1",3.22671621401733e-38,0.982655183169686,0.053,0.013,4.9323584047469e-34,"AFAP1","60312"
"150","AFAP1-AS1",2.45793715771509e-06,5.51531664943634,0.003,0,0.0375720273928329,"AFAP1-AS1","84740"
"151","AFAP1L2",3.99160499412526e-30,1.97122537119753,0.028,0.004,6.10156739401987e-26,"AFAP1L2","84632"
"152","AFF1",4.10386553797178e-29,0.547275300330211,0.08,0.034,6.27316886134366e-25,"AFF1","4299"
"153","AFF4",9.41542174512284e-41,0.667969399644331,0.154,0.077,1.43924136795948e-36,"AFF4","27125"
