"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000230829",3.10424817915269e-12,2.57871013834393,0.175,0.047,1.85761315288676e-07,"3","ENSG00000230829"
"ERAP21",3.23395357279564e-12,0.693772359914147,0.576,0.319,1.93523015749664e-07,"3","ERAP2"
"TTC39B",3.71721390087208e-12,2.03802664574032,0.218,0.071,2.22441797042086e-07,"3","TTC39B"
"SYTL1",4.0773991350016e-12,1.07716317063094,0.376,0.17,2.43995641637631e-07,"3","SYTL1"
"BEX3",4.55570721858757e-12,3.66645183015928,0.061,0.004,2.72618075667499e-07,"3","BEX3"
"SGSH",4.6783423103427e-12,1.06747778784753,0.223,0.07,2.79956682193218e-07,"3","SGSH"
"ARID5B",4.7228566914907e-12,1.18357178547747,0.266,0.098,2.82620467275495e-07,"3","ARID5B"
"ELK3",4.9747405421846e-12,1.84802225241955,0.166,0.044,2.97693448784868e-07,"3","ELK3"
"THEM4",5.0004349630745e-12,2.37882980132367,0.179,0.049,2.99231028625341e-07,"3","THEM4"
"PHGDH",5.50486861031299e-12,5.54205289335447,0.057,0.003,3.2941684250974e-07,"3","PHGDH"
"IRF1",5.89615519644397e-12,0.884488757179,0.62,0.386,3.52831823110403e-07,"3","IRF1"
"SP110",6.40559849798122e-12,0.693433821921149,0.568,0.329,3.83317419717694e-07,"3","SP110"
"ADRB2",7.15826255925111e-12,2.26264959919641,0.105,0.017,4.28357589808145e-07,"3","ADRB2"
"ITGA6",7.18460540745969e-12,1.68430120982326,0.118,0.022,4.29933972187796e-07,"3","ITGA6"
"CLU",1.13622557854688e-11,7.52224016425144,0.07,0.006,6.79928748458239e-07,"3","CLU"
"SOX4",1.18969159130561e-11,2.58153702313457,0.07,0.006,7.1192334515319e-07,"3","SOX4"
"RPSA",1.24981846071333e-11,1.07282418215641,0.76,0.677,7.47903865075464e-07,"3","RPSA"
"KCNAB2",1.29883463766251e-11,0.960971466878279,0.559,0.326,7.77235635523621e-07,"3","KCNAB2"
"SBNO2",1.32486012371846e-11,1.47228903258573,0.384,0.189,7.92809546634361e-07,"3","SBNO2"
"LPCAT1",1.38017590384798e-11,1.02007598048556,0.367,0.167,8.25911062621671e-07,"3","LPCAT1"
"SREBF1",1.61095033994939e-11,1.49379742976112,0.188,0.056,9.64008792929112e-07,"3","SREBF1"
"LDHB",1.61214560407594e-11,1.14453373323799,0.502,0.277,9.64724050935085e-07,"3","LDHB"
"BCL9L",1.73524376823609e-11,1.20869922504159,0.319,0.139,1.03838722335016e-06,"3","BCL9L"
"CD48",2.1023516116054e-11,1.06776514639095,0.52,0.31,1.25806822790079e-06,"3","CD48"
"GBP1",2.31137514919585e-11,1.47955352539128,0.354,0.169,1.38315000303029e-06,"3","GBP1"
"IER2",2.4779635205685e-11,1.23218812235813,0.585,0.381,1.4828381503434e-06,"3","IER2"
"ACE",2.80257917412008e-11,6.93714802552283,0.039,0,1.6770914035852e-06,"3","ACE"
"SNHG29",3.01450629227607e-11,1.05455858941897,0.528,0.302,1.80391071036092e-06,"3","SNHG29"
"SNORA53",3.02524164114284e-11,3.31326424760015,0.109,0.021,1.81033485047629e-06,"3","SNORA53"
"ADGRE5",3.04594086223326e-11,0.749063571917441,0.646,0.403,1.822721471369e-06,"3","ADGRE5"
"CDC25B",3.04849808667852e-11,1.06162138275939,0.371,0.174,1.82425174004929e-06,"3","CDC25B"
"ITGA5",3.14038864212311e-11,1.93772768725027,0.1,0.017,1.87923996733289e-06,"3","ITGA5"
"SNHG32",3.51512481740586e-11,1.27289899300195,0.424,0.211,2.10348584198384e-06,"3","SNHG32"
"LIME1",3.5758788355309e-11,0.985499732289704,0.166,0.045,2.13984165397004e-06,"3","LIME1"
"PHACTR2",3.75701748547812e-11,0.623875531322251,0.328,0.142,2.24823683348496e-06,"3","PHACTR2"
"PDE7A",3.82623381403933e-11,0.811469364454838,0.559,0.318,2.28965657665927e-06,"3","PDE7A"
"RERE",3.86848603249442e-11,1.03537296615404,0.332,0.149,2.31494072670499e-06,"3","RERE"
"APBA2",3.93541743994028e-11,2.51144801043567,0.109,0.021,2.35499315023466e-06,"3","APBA2"
"FABP5",4.23943181954837e-11,2.33228048784234,0.14,0.034,2.53691839513594e-06,"3","FABP5"
"FUT8",4.79684369406071e-11,1.76530790932993,0.183,0.056,2.87047923496287e-06,"3","FUT8"
"BTLA",4.82939508652661e-11,2.72860198083645,0.087,0.012,2.88995831372839e-06,"3","BTLA"
"SLC20A1",4.98365201367616e-11,0.738773088969973,0.524,0.285,2.98226720150395e-06,"3","SLC20A1"
