"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MMS19",1.24489868816093e-06,0.169151221541895,0.07,0.11,0.0317747941166195,"3","MMS19"
"RNF41",1.25158274286081e-06,0.141034160751564,0.171,0.242,0.0319453979287793,"3","RNF4"
"RB1CC11",1.2524117277503e-06,0.159454556282579,0.231,0.325,0.0319665569390987,"3","RB1CC1"
"CARD161",1.26607738796509e-06,0.118052556292639,0.182,0.257,0.032315359250421,"3","CARD16"
"WARS11",1.26889467937665e-06,0.108775425013953,0.053,0.086,0.0323872677964096,"3","WARS1"
"MYO9A1",1.30307603452351e-06,0.15819793942477,0.123,0.177,0.0332597127051781,"3","MYO9A"
"MEI11",1.38513723092486e-06,0.126444512991928,0.074,0.114,0.0353542426821261,"3","MEI1"
"SNRPA2",1.39212974804293e-06,0.101310962791925,0.176,0.249,0.0355327196890478,"3","SNRPA"
"BRD2",1.42830329519247e-06,0.146344892863539,0.272,0.381,0.0364560133064926,"3","BRD2"
"UTY1",1.42850593781048e-06,1.17061030853365,0.112,0.087,0.0364611855566747,"3","UTY"
"MARS11",1.44195639230655e-06,0.106752032484847,0.098,0.146,0.0368044949572323,"3","MARS1"
"LONP2",1.44773355456459e-06,0.162353249673871,0.177,0.252,0.0369519512467067,"3","LONP2"
"HERPUD12",1.4516518355517e-06,0.167947813219513,0.217,0.303,0.0370519614506215,"3","HERPUD1"
"PLEKHM2",1.50422874006888e-06,0.13696743479721,0.073,0.113,0.0383939343615181,"3","PLEKHM2"
"YEATS2",1.50966647948878e-06,0.12936787040075,0.066,0.103,0.0385327272224717,"3","YEATS2"
"PHC31",1.51422307585742e-06,0.148036117591716,0.242,0.34,0.0386490297881848,"3","PHC3"
"DNAJC2",1.52947424015603e-06,0.118904428105864,0.135,0.193,0.0390383005057426,"3","DNAJC2"
"DIP2B1",1.61049287759319e-06,0.11073554204811,0.096,0.142,0.0411062202076885,"3","DIP2B"
"ERCC5",1.61274310136445e-06,0.158101807109247,0.213,0.3,0.0411636549192262,"3","ERCC5"
"RNF401",1.63271839020558e-06,0.100388341930089,0.087,0.131,0.0416735041916071,"3","RNF40"
"NUP54",1.70500958258839e-06,0.118257680020974,0.124,0.178,0.043518664585986,"3","NUP54"
"SIN3A1",1.7255847641778e-06,0.13355931389887,0.14,0.199,0.0440438255208742,"3","SIN3A"
"RAB11FIP2",1.75705507314566e-06,0.120625177736539,0.094,0.139,0.04484707368697,"3","RAB11FIP2"
"VPS4B1",1.76420821033312e-06,0.164756458082565,0.205,0.29,0.0450296503605425,"3","VPS4B"
"TMCO11",1.81561461835587e-06,0.129584339843974,0.146,0.208,0.0463417475189151,"3","TMCO1"
"ABI31",1.81919653921144e-06,0.116620967383965,0.13,0.187,0.0464331724668327,"3","ABI3"
"IRF9",1.83356402490014e-06,0.129788988792973,0.172,0.242,0.0467998881715511,"3","IRF9"
"ZC3H181",1.85273177728162e-06,0.212842027176905,0.129,0.187,0.0472891258833361,"3","ZC3H18"
"IL27RA1",1.87221018708788e-06,0.158893113756838,0.123,0.178,0.047786292815231,"3","IL27RA"
"CYB561D21",1.87594137828249e-06,0.112966237146505,0.117,0.17,0.0478815277392822,"3","CYB561D2"
"SHPRH",1.94096579713177e-06,0.124282885745942,0.116,0.168,0.0495412110059913,"3","SHPRH"
"RBM6",1.95084559732449e-06,0.203080650754163,0.205,0.287,0.0497933830261104,"3","RBM6"
"LEF11",0,2.14085954755988,0.896,0.231,0,"4","LEF1"
"LTB1",0,1.89543945840375,0.923,0.311,0,"4","LTB"
"IL7R1",0,2.02362627832442,0.912,0.31,0,"4","IL7R"
"CAMK41",0,2.19273795212871,0.785,0.218,0,"4","CAMK4"
"NELL21",0,3.28323819821524,0.646,0.097,0,"4","NELL2"
"RCAN31",0,2.83035562314999,0.629,0.109,0,"4","RCAN3"
"NOSIP1",0,2.10104345782476,0.779,0.29,0,"4","NOSIP"
"SERINC51",0,2.88445067507886,0.593,0.104,0,"4","SERINC5"
"RTKN21",0,2.36484495756853,0.589,0.129,0,"4","RTKN2"
"MAML21",0,1.99155699281384,0.753,0.303,0,"4","MAML2"
"BACH21",0,1.93119385423163,0.647,0.203,0,"4","BACH2"
"SELL",0,1.87871937791739,0.672,0.232,0,"4","SELL"
"CCR7",0,4.18134183619348,0.463,0.032,0,"4","CCR7"
"PIK3IP11",0,1.88615186060303,0.687,0.267,0,"4","PIK3IP1"
"PRKCQ-AS1",0,2.45269894285792,0.569,0.161,0,"4","PRKCQ-AS1"
"TCF71",0,1.34704758459471,0.906,0.505,0,"4","TCF7"
"LEPROTL11",0,1.63426392891805,0.831,0.46,0,"4","LEPROTL1"
"TRABD2A1",0,3.32594541109137,0.417,0.049,0,"4","TRABD2A"
"LDHB1",0,1.66225945189484,0.898,0.534,0,"4","LDHB"
"GAS51",0,1.52605798349484,0.813,0.465,0,"4","GAS5"
"FOXP1",0,1.45446024305519,0.799,0.464,0,"4","FOXP1"
"TXK1",0,2.04556890220084,0.478,0.147,0,"4","TXK"
"MAL1",0,2.50846150491394,0.374,0.066,0,"4","MAL"
